10, 35
10, 40
11, 11
11, 33
12, 11
12, 19
12, 32
13, 11
13, 19
13, 31
14, 10
14, 19
14, 30
14, 31
15, 19
15, 29
15, 5
16, 19
16, 28
16, 7
17, 18
17, 28
18, 17
18, 28
19, 16
19, 26
20, 10
20, 16
20, 26
21, 16
21, 26
22, 22
22, 27
23, 28
24, 29
28, 22
28, 27
29, 27
30, 22
30, 26
31, 26
32, 22
32, 27
33, 27
34, 22
34, 28
35, 29
36, 22
36, 30
37, 26
37, 31
38, 26
38, 31
38, 38
39, 25
39, 31
40, 12
40, 14
40, 16
40, 18
40, 20
40, 24
40, 40
41, 31
